time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-13 00:00:00+00:00,74,46,49,16
2024-02-14 00:00:00+00:00,74,48,130,25
2024-02-15 00:00:00+00:00,77,51,47,16
2024-02-16 00:00:00+00:00,69,46,24,9
2024-02-17 00:00:00+00:00,48,39,40,9
2024-02-18 00:00:00+00:00,37,36,22,4
2024-02-19 00:00:00+00:00,101,66,94,21
2024-02-20 00:00:00+00:00,106,61,169,16
2024-02-21 00:00:00+00:00,140,93,118,25
2024-02-22 00:00:00+00:00,81,61,95,13
2024-02-23 00:00:00+00:00,118,56,164,25
2024-02-24 00:00:00+00:00,151,50,70,12
2024-02-25 00:00:00+00:00,48,42,3,2
2024-02-26 00:00:00+00:00,101,59,135,21
