time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-08 00:00:00+00:00,331,292,55,15
2025-09-09 00:00:00+00:00,180,139,19,12
2025-09-10 00:00:00+00:00,406,287,35,12
2025-09-11 00:00:00+00:00,245,167,10,9
2025-09-12 00:00:00+00:00,213,112,37,14
2025-09-13 00:00:00+00:00,137,113,12,5
2025-09-14 00:00:00+00:00,132,96,31,16
2025-09-15 00:00:00+00:00,448,249,98,30
2025-09-16 00:00:00+00:00,201,147,28,8
2025-09-17 00:00:00+00:00,223,189,131,21
2025-09-18 00:00:00+00:00,168,116,76,21
2025-09-19 00:00:00+00:00,198,154,19,13
2025-09-20 00:00:00+00:00,120,102,11,8
2025-09-21 00:00:00+00:00,48,32,30,9
