time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-22 00:00:00+00:00,47,14,78,13
2023-06-23 00:00:00+00:00,10,8,31,11
2023-06-24 00:00:00+00:00,10,5,36,9
2023-06-25 00:00:00+00:00,2,2,32,8
2023-06-26 00:00:00+00:00,44,10,26,13
2023-06-27 00:00:00+00:00,51,14,39,18
2023-06-28 00:00:00+00:00,38,23,37,17
2023-06-29 00:00:00+00:00,37,16,61,19
2023-06-30 00:00:00+00:00,70,21,38,18
2023-07-01 00:00:00+00:00,16,10,35,10
2023-07-02 00:00:00+00:00,6,5,10,6
2023-07-03 00:00:00+00:00,57,12,27,14
2023-07-04 00:00:00+00:00,79,12,34,20
2023-07-05 00:00:00+00:00,58,11,71,19
