url_path,views_total,views_unique
/tianocore/edk2-libc,95,61
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,37,28
/tianocore/edk2-libc/tree/master/AppPkg,27,20
/tianocore/edk2-libc/pulls,24,24
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,24,16
/tianocore/edk2-libc/tree/master/AppPkg/Applications,17,14
/tianocore/edk2-libc/tree/master/StdLib,15,12
/tianocore/edk2-libc/releases,11,4
/tianocore/edk2-libc/actions,11,3
/tianocore/edk2-libc/tree/master,9,7
