time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,171,113,74,24
2025-10-31 00:00:00+00:00,197,147,35,18
2025-11-01 00:00:00+00:00,109,106,16,11
2025-11-02 00:00:00+00:00,118,105,21,10
2025-11-03 00:00:00+00:00,207,153,32,17
2025-11-04 00:00:00+00:00,194,145,24,17
2025-11-05 00:00:00+00:00,151,100,30,19
2025-11-06 00:00:00+00:00,205,159,15,11
2025-11-07 00:00:00+00:00,218,169,54,18
2025-11-08 00:00:00+00:00,133,108,14,6
2025-11-09 00:00:00+00:00,123,108,24,10
2025-11-10 00:00:00+00:00,172,154,74,28
2025-11-11 00:00:00+00:00,466,386,60,20
2025-11-12 00:00:00+00:00,203,117,56,18
