time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-17 00:00:00+00:00,153,60,86,27
2025-06-18 00:00:00+00:00,135,56,58,15
2025-06-19 00:00:00+00:00,124,47,24,15
2025-06-20 00:00:00+00:00,161,123,25,7
2025-06-21 00:00:00+00:00,43,43,26,7
2025-06-22 00:00:00+00:00,54,45,38,10
2025-06-23 00:00:00+00:00,73,56,99,19
2025-06-24 00:00:00+00:00,143,57,40,13
2025-06-25 00:00:00+00:00,140,96,75,29
2025-06-26 00:00:00+00:00,152,129,73,18
2025-06-27 00:00:00+00:00,112,80,61,19
2025-06-28 00:00:00+00:00,44,39,32,9
2025-06-29 00:00:00+00:00,271,37,14,6
2025-06-30 00:00:00+00:00,97,70,89,15
